Place,Crime Category,Year,Amount
Ávila,    6.2.-Contra la seguridad vial,2013,218.0
Ávila,    6.2.-Contra la seguridad vial,2012,286.0
Ávila,    6.2.-Contra la seguridad vial,2011,326.0
Ávila,    6.2.-Contra la seguridad vial,2010,237.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2022,14.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2021,21.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2020,22.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2019,30.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2018,28.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2017,73.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2016,30.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2015,20.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2014,14.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2013,6.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2012,28.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2011,21.0
Ávila,    6.3.-Otros contra la seguridad colectiva,2010,4.0
Ávila,    7. FALSEDADES,2022,103.0
Ávila,    7. FALSEDADES,2021,155.0
Ávila,    7. FALSEDADES,2020,74.0
Ávila,    7. FALSEDADES,2019,75.0
Ávila,    7. FALSEDADES,2018,78.0
Ávila,    7. FALSEDADES,2017,94.0
Ávila,    7. FALSEDADES,2016,62.0
Ávila,    7. FALSEDADES,2015,68.0
Ávila,    7. FALSEDADES,2014,47.0
Ávila,    7. FALSEDADES,2013,54.0
Ávila,    7. FALSEDADES,2012,43.0
Ávila,    7. FALSEDADES,2011,40.0
Ávila,    7. FALSEDADES,2010,39.0
Ávila,    8. ADMÓN. PÚBLICA,2022,1.0
Ávila,    8. ADMÓN. PÚBLICA,2021,2.0
Ávila,    8. ADMÓN. PÚBLICA,2020,5.0
Ávila,    8. ADMÓN. PÚBLICA,2019,4.0
Ávila,    8. ADMÓN. PÚBLICA,2018,1.0
Ávila,    8. ADMÓN. PÚBLICA,2017,4.0
Ávila,    8. ADMÓN. PÚBLICA,2016,0.0
Ávila,    8. ADMÓN. PÚBLICA,2015,1.0
Ávila,    8. ADMÓN. PÚBLICA,2014,1.0
Ávila,    8. ADMÓN. PÚBLICA,2013,1.0
Ávila,    8. ADMÓN. PÚBLICA,2012,1.0
Ávila,    8. ADMÓN. PÚBLICA,2011,0.0
Ávila,    8. ADMÓN. PÚBLICA,2010,2.0
Ávila,    9. ADMÓN. JUSTICIA,2022,116.0
Ávila,    9. ADMÓN. JUSTICIA,2021,92.0
Ávila,    9. ADMÓN. JUSTICIA,2020,71.0
Ávila,    9. ADMÓN. JUSTICIA,2019,105.0
Ávila,    9. ADMÓN. JUSTICIA,2018,106.0
Ávila,    9. ADMÓN. JUSTICIA,2017,92.0
Ávila,    9. ADMÓN. JUSTICIA,2016,83.0
Ávila,    9. ADMÓN. JUSTICIA,2015,72.0
Ávila,    9. ADMÓN. JUSTICIA,2014,64.0
Ávila,    9. ADMÓN. JUSTICIA,2013,79.0
Ávila,    9. ADMÓN. JUSTICIA,2012,52.0
Ávila,    9. ADMÓN. JUSTICIA,2011,86.0
Ávila,    9. ADMÓN. JUSTICIA,2010,80.0
Ávila,    10. ORDEN PÚBLICO,2022,46.0
Ávila,    10. ORDEN PÚBLICO,2021,56.0
Ávila,    10. ORDEN PÚBLICO,2020,65.0
Ávila,    10. ORDEN PÚBLICO,2019,46.0
Ávila,    10. ORDEN PÚBLICO,2018,55.0
Ávila,    10. ORDEN PÚBLICO,2017,51.0
Ávila,    10. ORDEN PÚBLICO,2016,51.0
Ávila,    10. ORDEN PÚBLICO,2015,68.0
Ávila,    10. ORDEN PÚBLICO,2014,97.0
Ávila,    10. ORDEN PÚBLICO,2013,103.0
Ávila,    10. ORDEN PÚBLICO,2012,142.0
Ávila,    10. ORDEN PÚBLICO,2011,92.0
Ávila,    10. ORDEN PÚBLICO,2010,100.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2022,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2021,1.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2020,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2019,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2018,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2017,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2016,1.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2015,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2014,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2013,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2012,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2011,0.0
Ávila,    11. LEGISLACIÓN ESPECIAL,2010,0.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2022,86.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2021,79.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2020,72.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2019,109.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2018,84.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2017,70.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2016,55.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2015,45.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2014,32.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2013,20.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2012,27.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2011,20.0
Ávila,    12. OTRAS INFRACCIONES PENALES,2010,19.0
Badajoz,    1. CONTRA LAS PERSONAS,2022,2180.0
Badajoz,    1. CONTRA LAS PERSONAS,2021,2103.0
Badajoz,    1. CONTRA LAS PERSONAS,2020,1884.0
Badajoz,    1. CONTRA LAS PERSONAS,2019,2130.0
Badajoz,    1. CONTRA LAS PERSONAS,2018,2108.0
Badajoz,    1. CONTRA LAS PERSONAS,2017,2179.0
Badajoz,    1. CONTRA LAS PERSONAS,2016,2055.0
Badajoz,    1. CONTRA LAS PERSONAS,2015,2870.0
Badajoz,    1. CONTRA LAS PERSONAS,2014,3776.0
Badajoz,    1. CONTRA LAS PERSONAS,2013,3681.0
Badajoz,    1. CONTRA LAS PERSONAS,2012,3623.0
Badajoz,    1. CONTRA LAS PERSONAS,2011,3896.0
Badajoz,    1. CONTRA LAS PERSONAS,2010,4185.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2022,7.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2021,22.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2020,14.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2019,9.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2018,13.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2017,15.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2016,14.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2015,8.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2014,11.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2013,12.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2012,17.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2011,20.0
Badajoz,    1.1.-Homicidios dolosos/asesinatos,2010,14.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2022,1.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2021,3.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2020,4.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2019,2.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2018,3.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2017,5.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2016,6.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2015,0.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2014,4.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2013,5.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2012,12.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2011,7.0
Badajoz,    1.1.1.-Homicidios dolosos/asesinatos consumados,2010,2.0
Badajoz,    1.2.-Lesiones,2022,1331.0
Badajoz,    1.2.-Lesiones,2021,1256.0
Badajoz,    1.2.-Lesiones,2020,1085.0
Badajoz,    1.2.-Lesiones,2019,1319.0
Badajoz,    1.2.-Lesiones,2018,1378.0
Badajoz,    1.2.-Lesiones,2017,1467.0
Badajoz,    1.2.-Lesiones,2016,1372.0
Badajoz,    1.2.-Lesiones,2015,1257.0
Badajoz,    1.2.-Lesiones,2014,1242.0
Badajoz,    1.2.-Lesiones,2013,1266.0
Badajoz,    1.2.-Lesiones,2012,1309.0
Badajoz,    1.2.-Lesiones,2011,1361.0
Badajoz,    1.2.-Lesiones,2010,1522.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2022,804.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2021,776.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2020,747.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2019,752.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2018,667.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2017,664.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2016,643.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2015,719.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2014,699.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2013,726.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2012,679.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2011,669.0
Badajoz,    1.3.-Malos tratos ámbito familiar,2010,676.0
Badajoz,    1.4.-Otros contra las personas,2022,38.0
Badajoz,    1.4.-Otros contra las personas,2021,49.0
Badajoz,    1.4.-Otros contra las personas,2020,38.0
Badajoz,    1.4.-Otros contra las personas,2019,50.0
Badajoz,    1.4.-Otros contra las personas,2018,50.0
Badajoz,    1.4.-Otros contra las personas,2017,33.0
Badajoz,    1.4.-Otros contra las personas,2016,26.0
Badajoz,    1.4.-Otros contra las personas,2015,886.0
Badajoz,    1.4.-Otros contra las personas,2014,1824.0
Badajoz,    1.4.-Otros contra las personas,2013,1677.0
Badajoz,    1.4.-Otros contra las personas,2012,1618.0
Badajoz,    1.4.-Otros contra las personas,2011,1846.0
Badajoz,    1.4.-Otros contra las personas,2010,1973.0
Badajoz,    2. CONTRA LA LIBERTAD,2022,1720.0
Badajoz,    2. CONTRA LA LIBERTAD,2021,1726.0
Badajoz,    2. CONTRA LA LIBERTAD,2020,1592.0
Badajoz,    2. CONTRA LA LIBERTAD,2019,1624.0
Badajoz,    2. CONTRA LA LIBERTAD,2018,1537.0
Badajoz,    2. CONTRA LA LIBERTAD,2017,1568.0
Badajoz,    2. CONTRA LA LIBERTAD,2016,1413.0
Badajoz,    2. CONTRA LA LIBERTAD,2015,862.0
Badajoz,    2. CONTRA LA LIBERTAD,2014,475.0
Badajoz,    2. CONTRA LA LIBERTAD,2013,435.0
Badajoz,    2. CONTRA LA LIBERTAD,2012,427.0
Badajoz,    2. CONTRA LA LIBERTAD,2011,485.0
Badajoz,    2. CONTRA LA LIBERTAD,2010,404.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2022,153.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2021,177.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2020,164.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2019,144.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2018,109.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2017,105.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2016,103.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2015,138.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2014,178.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2013,192.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2012,160.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2011,160.0
Badajoz,    2.1.-Malos tratos habituales en el ámbito familiar,2010,119.0
Badajoz,    2.2.-Otros contra la libertad,2022,1567.0
Badajoz,    2.2.-Otros contra la libertad,2021,1549.0
Badajoz,    2.2.-Otros contra la libertad,2020,1428.0
Badajoz,    2.2.-Otros contra la libertad,2019,1480.0
Badajoz,    2.2.-Otros contra la libertad,2018,1428.0
Badajoz,    2.2.-Otros contra la libertad,2017,1463.0
Badajoz,    2.2.-Otros contra la libertad,2016,1310.0
Badajoz,    2.2.-Otros contra la libertad,2015,724.0
Badajoz,    2.2.-Otros contra la libertad,2014,297.0
Badajoz,    2.2.-Otros contra la libertad,2013,243.0
Badajoz,    2.2.-Otros contra la libertad,2012,267.0
Badajoz,    2.2.-Otros contra la libertad,2011,325.0
Badajoz,    2.2.-Otros contra la libertad,2010,285.0
Badajoz,    3. LIBERTAD SEXUAL,2022,187.0
Badajoz,    3. LIBERTAD SEXUAL,2021,137.0
Badajoz,    3. LIBERTAD SEXUAL,2020,122.0
Badajoz,    3. LIBERTAD SEXUAL,2019,146.0
Badajoz,    3. LIBERTAD SEXUAL,2018,141.0
Badajoz,    3. LIBERTAD SEXUAL,2017,97.0
Badajoz,    3. LIBERTAD SEXUAL,2016,108.0
Badajoz,    3. LIBERTAD SEXUAL,2015,109.0
Badajoz,    3. LIBERTAD SEXUAL,2014,90.0
Badajoz,    3. LIBERTAD SEXUAL,2013,98.0
Badajoz,    3. LIBERTAD SEXUAL,2012,85.0
Badajoz,    3. LIBERTAD SEXUAL,2011,112.0
Badajoz,    3. LIBERTAD SEXUAL,2010,110.0
Badajoz,    3.1.-Agresión sexual,2022,132.0
Badajoz,    3.1.-Agresión sexual,2021,78.0
Badajoz,    3.1.-Agresión sexual,2020,72.0
Badajoz,    3.1.-Agresión sexual,2019,93.0
Badajoz,    3.1.-Agresión sexual,2018,88.0
Badajoz,    3.1.-Agresión sexual,2017,52.0
Badajoz,    3.1.-Agresión sexual,2016,66.0
Badajoz,    3.1.-Agresión sexual,2015,70.0
Badajoz,    3.1.-Agresión sexual,2014,49.0
Badajoz,    3.1.-Agresión sexual,2013,61.0
Badajoz,    3.1.-Agresión sexual,2012,55.0
Badajoz,    3.1.-Agresión sexual,2011,63.0
Badajoz,    3.1.-Agresión sexual,2010,57.0
Badajoz,    3.2.-Agresión sexual con penetración,2022,31.0
Badajoz,    3.2.-Agresión sexual con penetración,2021,27.0
Badajoz,    3.2.-Agresión sexual con penetración,2020,15.0
Badajoz,    3.2.-Agresión sexual con penetración,2019,18.0
Badajoz,    3.2.-Agresión sexual con penetración,2018,20.0
Badajoz,    3.2.-Agresión sexual con penetración,2017,12.0
Badajoz,    3.2.-Agresión sexual con penetración,2016,12.0
Badajoz,    3.2.-Agresión sexual con penetración,2015,10.0
Badajoz,    3.2.-Agresión sexual con penetración,2014,6.0
Badajoz,    3.2.-Agresión sexual con penetración,2013,16.0
Badajoz,    3.2.-Agresión sexual con penetración,2012,12.0
Badajoz,    3.2.-Agresión sexual con penetración,2011,13.0
Badajoz,    3.2.-Agresión sexual con penetración,2010,16.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2022,4.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2021,5.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2020,6.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2019,8.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2018,4.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2017,3.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2016,8.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2015,4.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2014,6.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2013,5.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2012,2.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2011,4.0
Badajoz,    3.3.-Corrupción de menores o incapacitados,2010,7.0
Badajoz,    3.4.-Pornografía de menores,2022,4.0
Badajoz,    3.4.-Pornografía de menores,2021,10.0
Badajoz,    3.4.-Pornografía de menores,2020,4.0
Badajoz,    3.4.-Pornografía de menores,2019,5.0
Badajoz,    3.4.-Pornografía de menores,2018,7.0
Badajoz,    3.4.-Pornografía de menores,2017,6.0
Badajoz,    3.4.-Pornografía de menores,2016,6.0
Badajoz,    3.4.-Pornografía de menores,2015,12.0
Badajoz,    3.4.-Pornografía de menores,2014,5.0
Badajoz,    3.4.-Pornografía de menores,2013,5.0
Badajoz,    3.4.-Pornografía de menores,2012,4.0
Badajoz,    3.4.-Pornografía de menores,2011,13.0
Badajoz,    3.4.-Pornografía de menores,2010,16.0
Badajoz,    3.5.-Otros contra la libertad sexual,2022,16.0
Badajoz,    3.5.-Otros contra la libertad sexual,2021,17.0
Badajoz,    3.5.-Otros contra la libertad sexual,2020,25.0
Badajoz,    3.5.-Otros contra la libertad sexual,2019,22.0
Badajoz,    3.5.-Otros contra la libertad sexual,2018,22.0
Badajoz,    3.5.-Otros contra la libertad sexual,2017,24.0
Badajoz,    3.5.-Otros contra la libertad sexual,2016,16.0
Badajoz,    3.5.-Otros contra la libertad sexual,2015,13.0
Badajoz,    3.5.-Otros contra la libertad sexual,2014,24.0
Badajoz,    3.5.-Otros contra la libertad sexual,2013,11.0
Badajoz,    3.5.-Otros contra la libertad sexual,2012,12.0
Badajoz,    3.5.-Otros contra la libertad sexual,2011,19.0
Badajoz,    3.5.-Otros contra la libertad sexual,2010,14.0
Badajoz,    4. RELACIONES FAMILIARES,2022,182.0
Badajoz,    4. RELACIONES FAMILIARES,2021,157.0
Badajoz,    4. RELACIONES FAMILIARES,2020,166.0
Badajoz,    4. RELACIONES FAMILIARES,2019,165.0
Badajoz,    4. RELACIONES FAMILIARES,2018,182.0
Badajoz,    4. RELACIONES FAMILIARES,2017,188.0
Badajoz,    4. RELACIONES FAMILIARES,2016,184.0
Badajoz,    4. RELACIONES FAMILIARES,2015,199.0
Badajoz,    4. RELACIONES FAMILIARES,2014,218.0
Badajoz,    4. RELACIONES FAMILIARES,2013,224.0
Badajoz,    4. RELACIONES FAMILIARES,2012,229.0
Badajoz,    4. RELACIONES FAMILIARES,2011,139.0
Badajoz,    4. RELACIONES FAMILIARES,2010,170.0
Badajoz,    5. PATRIMONIO,2022,14957.0
Badajoz,    5. PATRIMONIO,2021,11892.0
Badajoz,    5. PATRIMONIO,2020,11322.0
Badajoz,    5. PATRIMONIO,2019,13007.0
Badajoz,    5. PATRIMONIO,2018,12681.0
Badajoz,    5. PATRIMONIO,2017,13067.0
Badajoz,    5. PATRIMONIO,2016,13026.0
Badajoz,    5. PATRIMONIO,2015,13272.0
Badajoz,    5. PATRIMONIO,2014,13539.0
Badajoz,    5. PATRIMONIO,2013,14235.0
Badajoz,    5. PATRIMONIO,2012,13829.0
Badajoz,    5. PATRIMONIO,2011,13533.0
Badajoz,    5. PATRIMONIO,2010,13837.0
Badajoz,    5.1.-Hurtos,2022,4506.0
Badajoz,    5.1.-Hurtos,2021,3377.0
Badajoz,    5.1.-Hurtos,2020,3063.0
Badajoz,    5.1.-Hurtos,2019,4811.0
Badajoz,    5.1.-Hurtos,2018,4675.0
Badajoz,    5.1.-Hurtos,2017,5234.0
Badajoz,    5.1.-Hurtos,2016,5335.0
Badajoz,    5.1.-Hurtos,2015,5807.0
Badajoz,    5.1.-Hurtos,2014,6083.0
Badajoz,    5.1.-Hurtos,2013,6631.0
Badajoz,    5.1.-Hurtos,2012,6155.0
Badajoz,    5.1.-Hurtos,2011,5799.0
Badajoz,    5.1.-Hurtos,2010,5974.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2022,2430.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2021,1924.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2020,2098.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2019,2497.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2018,2677.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2017,2902.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2016,3134.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2015,3266.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2014,3495.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2013,3582.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2012,3531.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2011,3757.0
Badajoz,    5.2.-Robos con fuerza en las cosas,2010,3760.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2022,361.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2021,369.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2020,363.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2019,522.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2018,489.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2017,563.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2016,677.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2015,705.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2014,701.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2013,750.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2012,808.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2011,973.0
Badajoz,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2010,1043.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2022,864.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2021,715.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2020,751.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2019,776.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2018,897.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2017,978.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2016,964.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2015,948.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2014,1041.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2013,1021.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2012,961.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2011,725.0
Badajoz,    5.2.2.-Robos con fuerza en viviendas,2010,819.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2022,446.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2021,318.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2020,397.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2019,465.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2018,561.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2017,622.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2016,684.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2015,633.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2014,704.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2013,652.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2012,601.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2011,680.0
Badajoz,    5.2.3.-Robos con fuerza en establecimientos,2010,725.0
Badajoz,    5.3.-Robos con violencia o intimidación,2022,205.0
Badajoz,    5.3.-Robos con violencia o intimidación,2021,132.0
Badajoz,    5.3.-Robos con violencia o intimidación,2020,155.0
Badajoz,    5.3.-Robos con violencia o intimidación,2019,252.0
Badajoz,    5.3.-Robos con violencia o intimidación,2018,179.0
Badajoz,    5.3.-Robos con violencia o intimidación,2017,224.0
Badajoz,    5.3.-Robos con violencia o intimidación,2016,220.0
Badajoz,    5.3.-Robos con violencia o intimidación,2015,238.0
Badajoz,    5.3.-Robos con violencia o intimidación,2014,232.0
Badajoz,    5.3.-Robos con violencia o intimidación,2013,297.0
Badajoz,    5.3.-Robos con violencia o intimidación,2012,300.0
Badajoz,    5.3.-Robos con violencia o intimidación,2011,296.0
Badajoz,    5.3.-Robos con violencia o intimidación,2010,343.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2022,98.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2021,62.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2020,77.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2019,136.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2018,98.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2017,124.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2016,134.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2015,139.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2014,134.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2013,153.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2012,185.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2011,185.0
Badajoz,    5.3.1.-Robos con violencia en vía pública,2010,216.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2022,38.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2021,25.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2020,19.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2019,27.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2018,18.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2017,19.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2016,24.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2015,29.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2014,21.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2013,36.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2012,27.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2011,35.0
Badajoz,    5.3.2.-Robos con violencia en viviendas,2010,24.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2022,49.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2021,36.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2020,45.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2019,56.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2018,46.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2017,56.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2016,38.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2015,45.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2014,43.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2013,70.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2012,63.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2011,51.0
Badajoz,    5.3.3.-Robos con violencia en establecimientos,2010,74.0
Badajoz,    5.4.-Sustracción de vehículos,2022,112.0
Badajoz,    5.4.-Sustracción de vehículos,2021,116.0
Badajoz,    5.4.-Sustracción de vehículos,2020,113.0
Badajoz,    5.4.-Sustracción de vehículos,2019,114.0
Badajoz,    5.4.-Sustracción de vehículos,2018,123.0
Badajoz,    5.4.-Sustracción de vehículos,2017,248.0
